"BodyPart","InjuryID","Name","Number","Opponent","PlayerID","Position","Practice","PracticeDescription","Season","SeasonType","Status","Team","Updated","Week"
"Head",46,"Glover Quin",29,"IND",8593,"CB","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Wrist",47,"Brooks Reed",58,"IND",12951,"LB","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Elbow",48,"DeMeco Ryans",59,"IND",5476,"LB","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Ankle",49,"Jonathan Weeks",0,"IND",11120,"LS","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Groin",50,"Mario Williams",90,"IND",5467,"LB","Full","Full Participation in Practice",2011,1,"Probable","HOU","/Date(1374114512543-0400)/",1
"Knee",51,"Derrick Morgan",90,"JAX",12305,"DE","None","Did Not Participate In Practice",2011,1,"Doubtful","TEN","/Date(1374114512543-0400)/",1
"Back",52,"Javon Ringer",21,"JAX",9556,"RB","None","Did Not Participate In Practice",2011,1,"Questionable","TEN","/Date(1374114512543-0400)/",1
"Knee",53,"Jason Jones",91,"JAX",322,"DT","Limited","Limited Participation in Practice",2011,1,"Questionable","TEN","/Date(1374114512543-0400)/",1
"Foot",54,"Lavelle Hawkins",87,"JAX",4075,"WR","Full","Full Participation in Practice",2011,1,"Probable","TEN","/Date(1374114512543-0400)/",1
"Not Injury Related",55,"Tyson Alualu",93,"TEN",11151,"DT","Full","Full Participation in Practice",2011,1,"--","JAX","/Date(1374114512543-0400)/",1
"Not Injury Related",56,"Greg Jones",33,"TEN",3725,"RB","Full","Full Participation in Practice",2011,1,"--","JAX","/Date(1374114512543-0400)/",1
"Not Injury Related",57,"Maurice Jones-Drew",32,"TEN",7308,"RB","Full","Full Participation in Practice",2011,1,"--","JAX","/Date(1374114512543-0400)/",1
"Not Injury Related",58,"Rashean Mathis",27,"TEN",3242,"CB","Full","Full Participation in Practice",2011,1,"--","JAX","/Date(1374114512543-0400)/",1
"Back",59,"Eben Britton",73,"TEN",8636,"T","Limited","Limited Participation in Practice",2011,1,"Questionable","JAX","/Date(1374114512543-0400)/",1
"Knee",60,"Aaron Kampman",74,"TEN",11815,"DE","Limited","Limited Participation in Practice",2011,1,"Questionable","JAX","/Date(1374114512543-0400)/",1
"Knee",61,"Zach Miller",86,"TEN",12415,"TE","Limited","Limited Participation in Practice",2011,1,"Questionable","JAX","/Date(1374114512543-0400)/",1
"Knee",62,"Arthur Moats",52,"KC",12157,"LB","None","Did Not Participate In Practice",2011,1,"Out","BUF","/Date(1374114512543-0400)/",1
"Illness",63,"Marcus Easley",81,"KC",13486,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","BUF","/Date(1374114512543-0400)/",1
"Back",64,"Torell Troup",96,"KC",10950,"DT","Limited","Limited Participation in Practice",2011,1,"Questionable","BUF","/Date(1374114512543-0400)/",1
"Not Injury Related",65,"Ryan Lilja",65,"BUF",11847,"G","Full","Full Participation in Practice",2011,1,"--","KC","/Date(1374114512543-0400)/",1
"Thumb",66,"Jon Baldwin",89,"BUF",13031,"WR","None","Did Not Participate In Practice",2011,1,"Out","KC","/Date(1374114512543-0400)/",1
"Knee",67,"Jared Gaither",0,"BUF",7254,"T","None","Did Not Participate In Practice",2011,1,"Questionable","KC","/Date(1374114512543-0400)/",1
"Rib",68,"Matt Cassel",7,"BUF",8723,"QB","Full","Full Participation in Practice",2011,1,"Probable","KC","/Date(1374114512543-0400)/",1
"Hamstring",69,"Steve Breaston",15,"BUF",3022,"WR","Limited","Limited Participation in Practice",2011,1,"Probable","KC","/Date(1374114512543-0400)/",1
"Knee",70,"Corey Peters",91,"CHI",11437,"DT","None","Did Not Participate In Practice",2011,1,"Out","ATL","/Date(1374114512543-0400)/",1
"Knee",71,"Todd McClure",62,"CHI",6723,"C","Out","Out (Definitely Will Not Play)",2011,1,"Out","ATL","/Date(1374114512543-0400)/",1
"Knee",72,"Jonathan Babineaux",95,"CHI",5315,"DT","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Concussion",73,"Rob Bruggeman",67,"CHI",11423,"C","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Elbow",74,"Tyson Clabo",77,"CHI",4019,"T","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Hamstring",75,"Dunta Robinson",23,"CHI",25,"CB","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Ankle",76,"Lawrence Sidbury",90,"CHI",9126,"DE","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Thigh",77,"Roddy White",84,"CHI",204,"WR","Full","Full Participation in Practice",2011,1,"Probable","ATL","/Date(1374114512543-0400)/",1
"Calf",78,"Marion Barber",24,"ATL",803,"RB","None","Did Not Participate In Practice",2011,1,"Out","CHI","/Date(1374114512543-0400)/",1
"Ankle",79,"Sam Hurd",81,"ATL",8136,"WR","Full","Full Participation in Practice",2011,1,"Questionable","CHI","/Date(1374114512543-0400)/",1
"Knee",80,"Corey Wootton",98,"ATL",11370,"DE","Full","Full Participation in Practice",2011,1,"Questionable","CHI","/Date(1374114512543-0400)/",1
"Calf",81,"Anthony Adams",95,"ATL",3173,"DT","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Knee",82,"Kahlil Bell",32,"ATL",10161,"RB","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Knee",83,"Lance Briggs",55,"ATL",3817,"LB","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Head",84,"Chris Conte",47,"ATL",13188,"S","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Back",85,"Kellen Davis",87,"ATL",8142,"TE","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Calf",86,"Patrick Mannelly",65,"ATL",6680,"LS","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Hip",87,"Craig Steltz",20,"ATL",7501,"S","Full","Full Participation in Practice",2011,1,"Probable","CHI","/Date(1374114512543-0400)/",1
"Not Injury Related",88,"Kyle Vanden Bosch",93,"TB",12000,"DE","None","Did Not Participate In Practice",2011,1,"--","DET","/Date(1374114512543-0400)/",1
"Foot",89,"Nick Fairley",98,"TB",13214,"DT","None","Did Not Participate In Practice",2011,1,"Out","DET","/Date(1374114512543-0400)/",1
"Foot",90,"Jason Fox",70,"TB",11377,"T","None","Did Not Participate In Practice",2011,1,"Out","DET","/Date(1374114512543-0400)/",1
"Foot",91,"Alphonso Smith",27,"TB",12184,"CB","Full","Full Participation in Practice",2011,1,"Out","DET","/Date(1374114512543-0400)/",1
"Hand",92,"Andre Fluellen",96,"TB",1715,"DT","Full","Full Participation in Practice",2011,1,"Probable","DET","/Date(1374114512543-0400)/",1
"Hand",93,"Maurice Morris",28,"TB",9029,"RB","Full","Full Participation in Practice",2011,1,"Probable","DET","/Date(1374114512543-0400)/",1
"Not Injury Related",94,"Kellen Winslow",82,"DET",9249,"TE","None","Did Not Participate In Practice",2011,1,"--","TB","/Date(1374114512543-0400)/",1
"Ankle",95,"Myron Lewis",23,"DET",11511,"CB","None","Did Not Participate In Practice",2011,1,"Out","TB","/Date(1374114512543-0400)/",1
"Hamstring",96,"Dekoda Watson",56,"DET",12063,"LB","Limited","Limited Participation in Practice",2011,1,"Questionable","TB","/Date(1374114512543-0400)/",1
"Ankle",97,"Ted Larsen",62,"DET",12298,"C","Full","Full Participation in Practice",2011,1,"Probable","TB","/Date(1374114512543-0400)/",1
"Hamstring",98,"Vince Young",9,"STL",4124,"QB","None","Did Not Participate In Practice",2011,1,"Doubtful","PHI","/Date(1374114512543-0400)/",1
"Knee",99,"Nate Allen",29,"STL",11308,"S","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Back",100,"Antonio Dixon",90,"STL",11925,"DT","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Shoulder",101,"Clay Harbor",82,"STL",11317,"TE","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Back",102,"Todd Herremans",79,"STL",3158,"T","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Quadricep",103,"Jaiquawn Jarrett",26,"STL",12704,"S","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Knee",104,"Winston Justice",74,"STL",2878,"T","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Hip",105,"Trevor Laws",91,"STL",6107,"DT","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Calf",106,"Juqua Parker",75,"STL",6528,"DE","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Knee",107,"Steve Smith",11,"STL",12414,"WR","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Foot",108,"Danny Watkins",63,"STL",12719,"G","Full","Full Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Shoulder",109,"Asante Samuel",22,"STL",6780,"CB","Limited","Limited Participation in Practice",2011,1,"Probable","PHI","/Date(1374114512543-0400)/",1
"Calf",110,"Michael Hoomanawanui",86,"PHI",11535,"TE","None","Did Not Participate In Practice",2011,1,"Questionable","STL","/Date(1374114512543-0400)/",1
"Back",111,"James Hall",96,"PHI",5998,"DE","Full","Full Participation in Practice",2011,1,"Probable","STL","/Date(1374114512543-0400)/",1
"Oblique",112,"Eugene Sims",92,"PHI",11547,"DE","Limited","Limited Participation in Practice",2011,1,"Probable","STL","/Date(1374114512543-0400)/",1
"Foot",113,"Prince Amukamara",20,"WAS",13135,"CB","Out","Out (Definitely Will Not Play)",2011,1,"Out","NYG","/Date(1374114512543-0400)/",1
"Knee",114,"Jonathan Goff",0,"WAS",7184,"LB","Out","Out (Definitely Will Not Play)",2011,1,"Out","NYG","/Date(1374114512543-0400)/",1
"Knee",115,"Osi Umenyiora",72,"WAS",5400,"DE","Out","Out (Definitely Will Not Play)",2011,1,"Out","NYG","/Date(1374114512543-0400)/",1
"Hamstring",116,"Travis Beckum",47,"WAS",8864,"TE","Limited","Limited Participation in Practice",2011,1,"Questionable","NYG","/Date(1374114512543-0400)/",1
"Neck",117,"Justin Tuck",91,"WAS",2307,"DE","Limited","Limited Participation in Practice",2011,1,"Questionable","NYG","/Date(1374114512543-0400)/",1
"Hamstring",118,"LaRon Landry",30,"NYG",6259,"S","None","Did Not Participate In Practice",2011,1,"Out","WAS","/Date(1374114512543-0400)/",1
"Hamstring",119,"Oshiomogho Atogwe",20,"NYG",5905,"S","Limited","Limited Participation in Practice",2011,1,"Questionable","WAS","/Date(1374114512543-0400)/",1
"Knee",120,"Brandon Banks",16,"NYG",11337,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","WAS","/Date(1374114512543-0400)/",1
"Knee",121,"Chris Cooley",47,"NYG",6147,"TE","Limited","Limited Participation in Practice",2011,1,"Questionable","WAS","/Date(1374114512543-0400)/",1
"Shoulder",122,"Donte Stallworth",19,"NYG",11728,"WR","Limited","Limited Participation in Practice",2011,1,"Questionable","WAS","/Date(1374114512543-0400)/",1
"Hand",123,"Ryan Torain",46,"NYG",11964,"RB","Limited","Limited Participation in Practice",2011,1,"Questionable","WAS","/Date(1374114512543-0400)/",1
"Ankle",124,"Kealoha Pilares",81,"ARI",13321,"WR","Out","Out (Definitely Will Not Play)",2011,1,"Out","CAR","/Date(1374114512543-0400)/",1
"Thigh",125,"Josh Thomas",22,"ARI",13131,"CB","Out","Out (Definitely Will Not Play)",2011,1,"Out","CAR","/Date(1374114512543-0400)/",1
"Knee",126,"Jeff Otah",79,"ARI",735,"T","None","Did Not Participate In Practice",2011,1,"Questionable","CAR","/Date(1374114512543-0400)/",1
"Ankle",127,"Jon Beason",52,"ARI",7174,"LB","Limited","Limited Participation in Practice",2011,1,"Questionable","CAR","/Date(1374114512543-0400)/",1
"Toe",128,"Mackenzy Bernadeau",73,"ARI",9138,"G","Limited","Limited Participation in Practice",2011,1,"Probable","CAR","/Date(1374114512543-0400)/",1
"Pectoral",129,"Jim Dray",81,"CAR",11555,"TE","None","Did Not Participate In Practice",2011,1,"Out","ARI","/Date(1374114512543-0400)/",1
"Ankle",130,"John Skelton",19,"CAR",11567,"QB","Full","Full Participation in Practice",2011,1,"Questionable","ARI","/Date(1374114512543-0400)/",1
"Knee",131,"Michael Adams",27,"CAR",3862,"CB","Limited","Limited Participation in Practice",2011,1,"Questionable","ARI","/Date(1374114512543-0400)/",1
"Groin",132,"Rob Housler",84,"CAR",13406,"TE","Full","Full Participation in Practice",2011,1,"Probable","ARI","/Date(1374114512543-0400)/",1
"Illness",133,"Korey Lindsey",32,"CAR",12850,"CB","Full","Full Participation in Practice",2011,1,"Probable","ARI","/Date(1374114512543-0400)/",1
"Hamstring",134,"DeMarco Sampson",89,"CAR",13417,"WR","Full","Full Participation in Practice",2011,1,"Probable","ARI","/Date(1374114512543-0400)/",1
"Hamstring",135,"Alfonso Smith",46,"CAR",7591,"RB","Full","Full Participation in Practice",2011,1,"Probable","ARI","/Date(1374114512543-0400)/",1
"Biceps",136,"Adrian Wilson",24,"CAR",7044,"S","Full","Full Participation in Practice",2011,1,"Probable","ARI","/Date(1374114512543-0400)/",1
"Ankle",137,"Jarriel King",77,"SF",13144,"T","None","Did Not Participate In Practice",2011,1,"Out","SEA","/Date(1374114512543-0400)/",1
"Knee",138,"Robert Gallery",72,"SF",2015,"G","None","Did Not Participate In Practice",2011,1,"Doubtful","SEA","/Date(1374114512543-0400)/",1
"Shoulder",139,"Sidney Rice",18,"SF",459,"WR","None","Did Not Participate In Practice",2011,1,"Doubtful","SEA","/Date(1374114512543-0400)/",1
"Ankle",140,"Chris Clemons",91,"SF",12116,"DE","None","Did Not Participate In Practice",2011,1,"Probable","SEA","/Date(1374114512543-0400)/",1
"Knee",141,"David Hawthorne",57,"SF",9373,"LB","Limited","Limited Participation in Practice",2011,1,"Probable","SEA","/Date(1374114512543-0400)/",1
"Knee",142,"Dashon Goldson",38,"SEA",5940,"S","None","Did Not Participate In Practice",2011,1,"Doubtful","SF","/Date(1374114512543-0400)/",1
"Not Injury Related",143,"Phil Loadholt",71,"SD",9087,"T","None","Did Not Participate In Practice",2011,1,"--","MIN","/Date(1374114512543-0400)/",1
"Not Injury Related",144,"Letroy Guion",98,"SD",804,"DT","Limited","Limited Participation in Practice",2011,1,"--","MIN","/Date(1374114512543-0400)/",1
"Foot",145,"Asher Allen",21,"SD",9809,"CB","Limited","Limited Participation in Practice",2011,1,"Questionable","MIN","/Date(1374114512543-0400)/",1
"Hamstring",146,"Chris Cook",31,"SD",11410,"CB","Full","Full Participation in Practice",2011,1,"Probable","MIN","/Date(1374114512543-0400)/",1
"Right Wrist",147,"Donovan McNabb",5,"SD",7015,"QB","Full","Full Participation in Practice",2011,1,"Probable","MIN","/Date(1374114512543-0400)/",1
"Hamstring",148,"Visanthe Shiancoe",81,"SD",1614,"TE","Full","Full Participation in Practice",2011,1,"Probable","MIN","/Date(1374114512543-0400)/",1
"Hamstring",149,"Vincent Brown",86,"MIN",13078,"WR","None","Did Not Participate In Practice",2011,1,"Questionable","SD","/Date(1374114512543-0400)/",1
"Ankle",150,"Patrick Crayton",12,"MIN",12266,"WR","None","Did Not Participate In Practice",2011,1,"Questionable","SD","/Date(1374114512543-0400)/",1
"Shoulder",151,"Jonas Mouton",57,"MIN",13093,"LB","None","Did Not Participate In Practice",2011,1,"Questionable","SD","/Date(1374114512543-0400)/",1
"Back",152,"Andrew Gachkar",59,"MIN",13083,"LB","Full","Full Participation in Practice",2011,1,"Probable","SD","/Date(1374114512543-0400)/",1
"Ankle",153,"Martellus Bennett",80,"NYJ",1181,"TE","None","Did Not Participate In Practice",2011,1,"Out","DAL","/Date(1374114512543-0400)/",1
"Groin",154,"Terence Newman",41,"NYJ",5916,"CB","None","Did Not Participate In Practice",2011,1,"Out","DAL","/Date(1374114512543-0400)/",1
"Hamstring",155,"Laurent Robinson",81,"NYJ",12081,"WR","None","Did Not Participate In Practice",2011,1,"Out","DAL","/Date(1374114512543-0400)/",1
"Knee",156,"Phil Costa",67,"NYJ",11272,"C","Limited","Limited Participation in Practice",2011,1,"Questionable","DAL","/Date(1374114512543-0400)/",1
"Neck",157,"Mike Jenkins",21,"NYJ",8840,"CB","Limited","Limited Participation in Practice",2011,1,"Questionable","DAL","/Date(1374114512543-0400)/",1
"Knee",158,"Tyron Smith",77,"NYJ",13129,"T","Limited","Limited Participation in Practice",2011,1,"Questionable","DAL","/Date(1374114512543-0400)/",1
"Knee",159,"Tashard Choice",0,"NYJ",1891,"RB","Full","Full Participation in Practice",2011,1,"Probable","DAL","/Date(1374114512543-0400)/",1
"Ankle",160,"Bradie James",56,"NYJ",217,"LB","Full","Full Participation in Practice",2011,1,"Probable","DAL","/Date(1374114512543-0400)/",1
"Groin",161,"Marcus Spears",98,"NYJ",3345,"DE","Full","Full Participation in Practice",2011,1,"Probable","DAL","/Date(1374114512543-0400)/",1
"Hamstring",162,"Miles Austin",19,"NYJ",3330,"WR","Limited","Limited Participation in Practice",2011,1,"Probable","DAL","/Date(1374114512543-0400)/",1
"Ankle",163,"Plaxico Burress",17,"DAL",6160,"WR","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Ankle",164,"John Conner",38,"DAL",10991,"RB","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Hamstring",165,"Jeff Cumberland",86,"DAL",10992,"TE","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Knee",166,"Marcus Dixon",94,"DAL",12250,"DE","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Hamstring",167,"Kenrick Ellis",93,"DAL",12792,"DT","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Illness",168,"Santonio Holmes",10,"DAL",11697,"WR","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Knee",169,"Derrick Mason",82,"DAL",7106,"WR","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Illness",170,"Joe McKnight",25,"DAL",10999,"RB","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Illness",171,"Brandon Moore",65,"DAL",2096,"G","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Ankle",172,"Ropati Pitoitua",79,"DAL",8410,"DE","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Knee",173,"Sione Pouha",91,"DAL",548,"DT","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Hip",174,"Darrelle Revis",24,"DAL",6304,"CB","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Wrist",175,"Logan Payne",18,"DAL",868,"WR","Out","Out (Definitely Will Not Play)",2011,1,"Out","NYJ","/Date(1374114512543-0400)/",1
"Ankle",176,"Robert Turner",75,"DAL",1292,"C","Out","Out (Definitely Will Not Play)",2011,1,"Out","NYJ","/Date(1374114512543-0400)/",1
"Calf",177,"Mark Brunell",8,"DAL",11688,"QB","Full","Full Participation in Practice",2011,1,"Probable","NYJ","/Date(1374114512543-0400)/",1
"Illness",178,"Albert Haynesworth",0,"MIA",8942,"DT","None","Did Not Participate In Practice",2011,1,"--","NE","/Date(1374114512543-0400)/",1
"Back",179,"Sebastian Vollmer",76,"MIA",8375,"T","None","Did Not Participate In Practice",2011,1,"Questionable","NE","/Date(1374114512543-0400)/",1
"Knee",180,"Mark Anderson",95,"MIA",12368,"DE","Limited","Limited Participation in Practice",2011,1,"Questionable","NE","/Date(1374114512543-0400)/",1
"Hip",181,"Kyle Arrington",24,"MIA",10091,"CB","Limited","Limited Participation in Practice",2011,1,"Questionable","NE","/Date(1374114512543-0400)/",1
"Foot",182,"Dan Connolly",63,"MIA",1215,"G","Limited","Limited Participation in Practice",2011,1,"Questionable","NE","/Date(1374114512543-0400)/",1
"Groin",183,"Jermaine Cunningham",96,"MIA",10970,"LB","Limited","Limited Participation in Practice",2011,1,"Questionable","NE","/Date(1374114512543-0400)/",1
